"step_id","parent_step","parameterization","family","anchor","model_label","job_title","rationale","terminal_years","terminal_penalty_weight","terminal_penalty_flag","fish_profile","tag_weight_flag","tag_likelihood","estimate_tag_dispersion","remove_2021_tags","tag_deletion","rr_2021_scope","rr_2021_target","rr_2021_penalty","tag_loss_mode","tag_loss_rate","tag_rr_mixing_mode","tag_2021_mixing_period","trend_flag","standard_terminal_quarters","standard_arithmetic_mean","expected_final_par","tag_likelihood_weight"
"12p001-E1-W000-FBase","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W000-FBase","OPR69 end1 weight 0; current fishery controls","Sensitivity E1-W000-FBase","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 0. The selectivity treatment is current fishery controls. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,0,0,"baseline",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p002-E1-W000-FGroup","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W000-FGroup","OPR69 end1 weight 0; LF controls propagated within shared selectivity groups","Sensitivity E1-W000-FGroup","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 0. The selectivity treatment is LF controls propagated within shared selectivity groups. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,0,0,"group_consistent",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p003-E1-W025-FBase","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W025-FBase","OPR69 end1 weight 25; current fishery controls","Sensitivity E1-W025-FBase","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 25. The selectivity treatment is current fishery controls. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,25,250,"baseline",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p004-E1-W025-FGroup","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W025-FGroup","OPR69 end1 weight 25; LF controls propagated within shared selectivity groups","Sensitivity E1-W025-FGroup","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 25. The selectivity treatment is LF controls propagated within shared selectivity groups. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,25,250,"group_consistent",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p005-E1-W050-FBase","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W050-FBase","OPR69 end1 weight 50; current fishery controls","Sensitivity E1-W050-FBase","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 50. The selectivity treatment is current fishery controls. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,50,500,"baseline",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p006-E1-W050-FGroup","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W050-FGroup","OPR69 end1 weight 50; LF controls propagated within shared selectivity groups","Sensitivity E1-W050-FGroup","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 50. The selectivity treatment is LF controls propagated within shared selectivity groups. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,50,500,"group_consistent",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p007-E1-W100-FBase","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W100-FBase","OPR69 end1 weight 100; current fishery controls","Sensitivity E1-W100-FBase","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 100. The selectivity treatment is current fishery controls. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,100,1000,"baseline",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p008-E1-W100-FGroup","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W100-FGroup","OPR69 end1 weight 100; LF controls propagated within shared selectivity groups","Sensitivity E1-W100-FGroup","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 100. The selectivity treatment is LF controls propagated within shared selectivity groups. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,100,1000,"group_consistent",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p009-E1-W200-FBase","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W200-FBase","OPR69 end1 weight 200; current fishery controls","Sensitivity E1-W200-FBase","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 200. The selectivity treatment is current fishery controls. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,200,2000,"baseline",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p010-E1-W200-FGroup","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E1-W200-FGroup","OPR69 end1 weight 200; LF controls propagated within shared selectivity groups","Sensitivity E1-W200-FGroup","Tests an OPR69 terminal window of 1 calendar year(s) (4 quarters) with terminal-recruitment penalty weight 200. The selectivity treatment is LF controls propagated within shared selectivity groups. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",1,200,2000,"group_consistent",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p011-E2-W000-FBase","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E2-W000-FBase","OPR69 end2 weight 0; current fishery controls","Sensitivity E2-W000-FBase","Tests an OPR69 terminal window of 2 calendar year(s) (8 quarters) with terminal-recruitment penalty weight 0. The selectivity treatment is current fishery controls. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",2,0,0,"baseline",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p012-E2-W000-FGroup","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E2-W000-FGroup","OPR69 end2 weight 0; LF controls propagated within shared selectivity groups","Sensitivity E2-W000-FGroup","Tests an OPR69 terminal window of 2 calendar year(s) (8 quarters) with terminal-recruitment penalty weight 0. The selectivity treatment is LF controls propagated within shared selectivity groups. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",2,0,0,"group_consistent",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p013-E2-W025-FBase","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E2-W025-FBase","OPR69 end2 weight 25; current fishery controls","Sensitivity E2-W025-FBase","Tests an OPR69 terminal window of 2 calendar year(s) (8 quarters) with terminal-recruitment penalty weight 25. The selectivity treatment is current fishery controls. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",2,25,250,"baseline",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
"12p014-E2-W025-FGroup","12-OrthogonalPoly","opr","terminal-penalty-by-selectivity","E2-W025-FGroup","OPR69 end2 weight 25; LF controls propagated within shared selectivity groups","Sensitivity E2-W025-FGroup","Tests an OPR69 terminal window of 2 calendar year(s) (8 quarters) with terminal-recruitment penalty weight 25. The selectivity treatment is LF controls propagated within shared selectivity groups. Every model receives the same final 1,000-evaluation phase, including weight-zero controls.",2,25,250,"group_consistent",0,"negative_binomial",FALSE,FALSE,"none","shared",NA,NA,"none",0,"inherited",NA,0,NA,NA,"12.par",1
