"step","model","change","rationale"
"01","2023 diagnostic-model refit","2023 diagnostic-model refit","Provide a reproducible reference for subsequent comparisons."
"02","New executable and INI 1007","New MFCL executable (2.2.7.9-based) and INI 1007","Isolate the combined executable and required INI-format update."
"03","Natural mortality fixed","Lorenzen natural-mortality scaling fixed to the 2023 diagnostic estimate","Improve model stability as recommended at the PAW."
"04","Length-weight update","BET 2026 bias-corrected length-weight parameters","Update biomass conversion for the 2026 assessment."
"05","Five-region structure","Five-region, 33-fishery structure and reporting-rate remapping","Represent the revised spatial and fishery definitions and rebuild the current reporting-rate controls for the new fishery map."
"06","Weight-as-length compositions","Reweighted weight data converted to length frequencies through 2021","Evaluate conversion of reweighted weight data to length."
"07","Observed-length supplementation","Weight-as-length plus observed-length compositions","Use observed lengths where their catch coverage exceeded weight samples."
"08","Data through 2024","Data updated through 2024 except CAAL","Extend the temporal coverage of the assessment."
"09","PH/ID and domestic size-data rules","PH/ID and domestic mixed-gear size-data rules","Apply the agreed PH/ID and domestic mixed-gear size-data treatment."
"10","Regional CPUE and scaling","Regional CPUE indices and regional scaling","Allow region-specific indices while penalising inconsistent regional abundance scaling."
"11","Time-varying CPUE uncertainty","Time-varying CPUE uncertainty","Account for temporal variation in CPUE precision."
"12","MLE-based regional CPUE SDs","Regional CPUE observation-error SDs fixed at their maximum-likelihood estimates (0.35, 0.24, 0.21, 0.24 and 0.23)","Retain the five maximum-likelihood CPUE observation-error SDs."
"13","New CAAL data","New CAAL data with weight 0.75","Use the 2023 BET age-data weighting as the reference treatment."
"14a","Regional CAAL reweighting","Regional CAAL reweighting","Test region-level spatial CAAL weighting."
"14b","Sub-basin CAAL reweighting","Sub-basin CAAL reweighting with regions 3 and 4 combined","Apply the selected sub-basin CAAL weighting."
"15","Selectivity update","Flexible fishery-specific selectivity plus weak F10 non-decreasing penalty","Apply the selected flexible-selectivity treatment and deterministic weak F10 tail-stability penalty to the revised 33-fishery structure."
"16","KS D-statistic tag mixing","Release-group-specific tag-mixing periods estimated using a KS D-statistic cutoff of 0.20","Apply the release-group-specific mixing periods estimated for the 2026 assessment using a KS D-statistic cutoff of 0.20 (Scutt Phillips et al., 2026)."
"17","Pre-mixing reporting-rate exclusion","Pre-mixing reporting-rate exclusion","Avoid applying reporting rates in pre-mixing windows."
"18","Effort-creep adjustment","Effort-creep adjustment","Account for gradual changes in fishing efficiency."
"19","DM composition weighting","Dirichlet-multinomial composition weighting","Use DM-noRE G8/Nmax25 composition weighting with concentration intercepts fixed at 7."
"20","Tag tau fixed at 2","Negative-binomial tag tau fixed at 2","Evaluate direct fixed tau=2 from the ordinary-makepar Step 19 basis."
"21","F33 weak non-decreasing penalty","Weak F33 non-decreasing selectivity penalty","Stabilize F33 selectivity where Region 5 length-frequency information is limited: a weak non-decreasing penalty discourages unsupported dome-shaped tails without forcing strongly asymptotic selectivity, so the fitted shape remains data informed."
"22","BET 2026 Diagnostic model","Steepness fixed at 0.90","Adopt fixed h=0.90 and reproduce the current public BET 2026 Diagnostic model."
